Date,Open,High,Low,Close,Adj Close,Volume
2018-11-12,1097.699951,1098.800049,1074.550049,1080.000000,1074.052124,5801720
2018-11-13,1074.000000,1103.000000,1070.050049,1099.449951,1093.395020,6811598
2018-11-14,1105.050049,1112.650024,1085.500000,1097.949951,1091.903198,7787530
2018-11-15,1096.949951,1103.000000,1086.500000,1096.849976,1090.809326,6831740
2018-11-16,1097.949951,1129.949951,1097.099976,1127.400024,1121.191162,11031889
2018-11-19,1132.900024,1151.699951,1131.000000,1150.000000,1143.666626,7308981
2018-11-20,1145.000000,1155.900024,1130.000000,1137.400024,1131.135986,5719901
2018-11-21,1137.500000,1145.500000,1107.050049,1112.900024,1106.770996,7507812
2018-11-22,1114.500000,1125.349976,1100.099976,1102.849976,1096.776245,5792568
2018-11-26,1109.000000,1117.500000,1097.400024,1109.750000,1103.638306,6386556
2018-11-27,1107.900024,1130.000000,1105.449951,1128.199951,1121.986572,6810228
2018-11-28,1132.449951,1157.750000,1126.300049,1152.650024,1146.302002,8003964
2018-11-29,1161.000000,1179.900024,1160.000000,1168.500000,1162.064697,12636169
2018-11-30,1172.300049,1186.000000,1162.300049,1167.550049,1161.119995,10717448
2018-12-03,1174.900024,1174.900024,1148.500000,1156.449951,1150.081055,5569578
2018-12-04,1158.000000,1158.000000,1142.199951,1152.300049,1145.953979,5192825
2018-12-05,1143.750000,1158.800049,1139.300049,1155.150024,1148.788330,5819618
2018-12-06,1149.000000,1149.000000,1118.250000,1123.650024,1117.461792,5866108
2018-12-07,1129.449951,1136.949951,1108.349976,1133.800049,1127.555908,7214078
2018-12-10,1110.000000,1114.300049,1083.099976,1090.250000,1084.245728,9381544
2018-12-11,1066.000000,1102.099976,1055.000000,1097.550049,1091.505493,13494665
2018-12-12,1099.000000,1113.500000,1087.750000,1110.500000,1104.384155,12605431
2018-12-13,1128.000000,1128.000000,1095.050049,1107.050049,1100.953247,9297518
2018-12-14,1103.099976,1114.900024,1091.800049,1112.199951,1106.074707,7221324
2018-12-17,1115.949951,1133.000000,1111.500000,1129.900024,1123.677368,5064357
2018-12-18,1123.300049,1139.000000,1120.500000,1136.400024,1130.141479,5870928
2018-12-19,1141.500000,1147.300049,1133.199951,1136.800049,1130.539307,7368799
2018-12-20,1121.000000,1132.500000,1116.150024,1128.449951,1122.235229,5764731
2018-12-21,1125.000000,1131.250000,1096.000000,1100.199951,1094.140869,8281941
2018-12-24,1100.900024,1103.199951,1086.550049,1089.150024,1083.151733,4144535
2018-12-26,1085.800049,1100.000000,1065.650024,1098.349976,1092.301025,7210059
2018-12-27,1107.199951,1127.000000,1104.000000,1120.199951,1114.030640,12478000
2018-12-28,1125.500000,1135.250000,1121.199951,1125.550049,1119.351318,7666016
2018-12-31,1130.949951,1133.849976,1116.199951,1121.250000,1115.074951,7222817
2019-01-01,1125.250000,1127.300049,1110.099976,1121.000000,1114.826294,4455850
2019-01-02,1114.500000,1127.000000,1101.000000,1106.400024,1100.306763,7144970
2019-01-03,1107.500000,1114.599976,1090.099976,1092.750000,1086.731934,7446457
2019-01-04,1097.400024,1104.449951,1081.099976,1098.650024,1092.599487,8465141
2019-01-07,1107.000000,1118.449951,1101.000000,1104.750000,1098.665771,5513559
2019-01-08,1105.099976,1109.949951,1096.000000,1104.650024,1098.566406,5625153
2019-01-09,1112.000000,1117.000000,1098.699951,1110.750000,1104.632813,5766805
2019-01-10,1107.750000,1111.000000,1103.000000,1107.500000,1101.400635,4080283
2019-01-11,1107.599976,1113.800049,1088.599976,1098.050049,1092.002808,6463903
2019-01-14,1095.000000,1100.500000,1086.400024,1096.800049,1090.759644,4111782
2019-01-15,1105.000000,1132.000000,1105.000000,1129.650024,1123.428711,10062875
2019-01-16,1135.000000,1145.000000,1130.349976,1135.900024,1129.644287,6382777
2019-01-17,1144.449951,1147.900024,1130.000000,1134.449951,1128.202148,7487963
2019-01-18,1148.800049,1189.900024,1135.250000,1184.349976,1177.827393,25684142
2019-01-21,1194.000000,1239.949951,1188.650024,1237.699951,1230.883545,22038534
2019-01-22,1232.849976,1246.949951,1219.599976,1235.150024,1228.347656,16552819
2019-01-23,1233.300049,1244.199951,1222.000000,1226.300049,1219.546509,8829502
2019-01-24,1225.000000,1253.199951,1220.099976,1247.449951,1240.579834,13155185
2019-01-25,1250.449951,1264.699951,1235.400024,1246.000000,1239.137939,8550836
2019-01-28,1250.500000,1255.949951,1222.400024,1229.550049,1222.778564,8569265
2019-01-29,1231.000000,1231.650024,1201.349976,1210.650024,1203.982666,9328866
2019-01-30,1215.000000,1225.000000,1191.099976,1195.699951,1189.114868,7846940
2019-01-31,1202.000000,1229.699951,1201.000000,1227.150024,1220.391724,10185347
2019-02-01,1234.000000,1255.000000,1227.050049,1249.949951,1243.066162,9228965
2019-02-04,1247.000000,1296.949951,1242.050049,1290.900024,1283.790649,11670570
2019-02-05,1292.000000,1304.400024,1278.599976,1291.550049,1284.437134,9362406
2019-02-06,1296.250000,1317.650024,1294.250000,1310.250000,1303.034058,9411585
2019-02-07,1310.250000,1321.199951,1286.099976,1290.400024,1283.293457,9212227
2019-02-08,1284.800049,1300.500000,1272.250000,1277.699951,1270.663330,6505502
