,Date,Open,High,Low,Close,Adj Close,Volume,SMA,STD_DEV,UB,LB,state
206,2019-09-17,1211.0,1211.0,1193.5,1197.449951,1197.449951,7150435,1257.2099976,25.60962347712139,1308.4292445542428,1205.990750645757,C
205,2019-09-16,1189.0,1219.099976,1186.099976,1210.75,1210.75,9393731,1245.0599975999999,27.780576800331033,1300.6211512006619,1189.4988439993379,B
204,2019-09-13,1212.0,1228.5,1206.900024,1225.599976,1225.599976,5919260,1236.7149903,29.17587667247828,1295.0667436449564,1178.3632369550435,B
203,2019-09-12,1235.0,1240.449951,1205.699951,1210.349976,1210.349976,5431139,1228.0699829999999,29.924747478327276,1287.9194779566544,1168.2204880433453,B
202,2019-09-11,1222.5,1240.0,1222.5,1234.400024,1234.400024,5544468,1223.5549805,29.54338250062544,1282.6417455012509,1164.4682154987493,B
201,2019-09-09,1220.650024,1233.0,1213.150024,1222.199951,1222.199951,5370758,1217.9049805,28.537149807435746,1274.9792801148715,1160.8306808851285,B
200,2019-09-06,1203.0,1229.0,1195.25,1222.5,1222.5,10600234,1216.2349854,26.48053560418277,1269.1960566083656,1163.2739141916343,B
199,2019-09-05,1206.800049,1213.199951,1193.300049,1198.599976,1198.599976,10512763,1210.6599854,23.30756732995315,1257.2751200599064,1164.0448507400938,B
198,2019-09-04,1200.550049,1205.25,1186.050049,1201.150024,1201.150024,15063355,1212.8699829000002,19.649726732124147,1252.1694363642484,1173.570529435752,B
197,2019-09-03,1242.25,1243.0,1200.0,1206.400024,1206.400024,8563009,1212.9399902,15.639816425791947,1244.219623051584,1181.660357348416,B
196,2019-08-30,1245.5,1254.400024,1221.0,1248.550049,1248.550049,11308120,1218.05,11.288030912728031,1240.626061825456,1195.473938174544,A
195,2019-08-29,1256.449951,1260.25,1235.300049,1241.75,1241.75,8635974,1221.15,7.947168008738244,1237.0443360174766,1205.2556639825236,A
194,2019-08-28,1273.75,1281.0,1256.050049,1263.300049,1263.300049,5305639,1224.9200073,5.7247638660876845,1236.3695350321752,1213.4704795678247,A
193,2019-08-27,1285.0,1285.0,1261.199951,1274.849976,1274.849976,12984396,1231.3700073,6.385970314587052,1244.1419479291742,1218.5980666708258,A
192,2019-08-26,1294.0,1294.0,1259.0,1266.800049,1266.800049,8778739,1234.6100098,8.017284924566098,1250.644579649132,1218.5754399508678,A
191,2019-08-23,1239.0,1284.0,1226.5,1275.849976,1275.849976,9741262,1239.9750123,10.117429289493163,1260.2098708789863,1219.7401537210135,A
190,2019-08-22,1270.949951,1271.0,1238.900024,1246.75,1246.75,6414937,1242.4000122999998,11.648452308492821,1265.6969169169854,1219.1031076830143,B
189,2019-08-21,1275.650024,1278.650024,1266.5,1270.949951,1270.949951,4881553,1249.6350097999998,12.81814719994335,1275.2713041998866,1223.998715400113,B
188,2019-08-20,1289.800049,1292.599976,1272.599976,1275.949951,1275.949951,6843460,1257.1150025,14.265979199220654,1285.6469608984412,1228.5830441015587,B
187,2019-08-19,1281.050049,1296.800049,1280.0,1292.599976,1292.599976,7459859,1265.7349977,15.632045007781093,1296.9990877155622,1234.4709076844376,B
186,2019-08-16,1291.199951,1291.800049,1273.0,1278.0,1278.0,10047496,1268.6799927999998,16.45175360781858,1301.583500015637,1235.7764855843627,B
185,2019-08-14,1304.0,1304.449951,1280.349976,1288.25,1288.25,14487137,1273.3299928,16.825294439568097,1306.980581679136,1239.6794039208637,B
